Land,EVP-ED,PSE,ELDR,Verts/ALE,GUE/NGL,UEN,TDI,EDD,NI,Anzahl der Sitze
Belgien,6,5,5,7,,,2,,,25
Dänemark,1,3,6,,1,1,,4,,16
Deutschland,53,33,,7,6,,,,,99
Finnland,5,3,5,2,1,,,,,16
Frankreich,20,22,,9,11,13,5,6,1,87
Griechenland,9,9,,,7,,,,,25
Irland,5,1,1,2,,6,,,,15
Italien,34,17,7,2,6,9,11,,1,87
Luxemburg,2,2,1,1,,,,,,6
Niederlande,9,6,8,4,1,,,3,,31
Österreich,7,7,,2,,,,,5,21
Portugal,9,12,,,2,2,,,,25
Schweden,7,6,4,2,3,,,,,22
Spanien,28,24,3,4,4,,,,1,64
Vereinigtes Königreich,37,30,10,6,,,,3,1,87
Europäische Union,232,180,50,48,42,31,18,16,9,626
