Land,EVP,S&D,ALDE,Grünen/EFA,EKR,GUE/NGL,EFD,NI,Anzahl der Sitze
Belgien,5,5,5,4,1,,,2,22
Bulgarien,6,4,5,,,,,2,17
Dänemark,1,4,3,2,,1,2,,13
Deutschland,42,23,12,14,,8,,,99
Estland,1,1,3,1,,,,,6
Finnland,4,2,4,2,,,1,,13
Frankreich,29,14,6,14,,5,1,3,72
Griechenland,8,8,,1,,3,2,,22
Irland,4,3,4,,,1,,,12
Italien,35,21,7,,,,9,,72
Lettland,3,1,1,1,1,1,,,8
Litauen,4,3,2,,1,,2,,12
Luxemburg,3,1,1,1,,,,,6
Malta,2,3,,,,,,,5
Niederlande,5,3,6,3,1,2,1,4,25
Österreich,6,4,,2,,,,5,17
Polen,28,7,,,15,,,,50
Portugal,10,7,,,,5,,,22
Rumänien,14,11,5,,,,,3,33
Schweden,5,5,4,3,,1,,,18
Slowakei,6,5,1,,,,1,,13
Slowenien,3,2,2,,,,,,7
Spanien,23,21,2,2,,1,,1,50
Tschechien,2,7,,,9,4,,,22
Ungarn,14,4,,,1,,,3,22
Vereinigtes Königreich,,13,11,5,25,1,13,4,72
Zypern,2,2,,,,2,,,6
Europäische Union,265,184,84,55,54,35,32,27,736
