Land,EVP,S&D,EKR,ALDE,GUE/NGL,Grüne/EFA,EFDD,NI,Anzahl der Sitze
Belgien,4,4,4,6,,2,,1,21
Bulgarien,7,4,2,4,,,,,17
Dänemark,1,3,4,3,1,1,,,13
Deutschland,34,27,8,4,8,13,,2,96
Estland,1,1,,3,,1,,,6
Finnland,3,2,2,4,1,1,,,13
Frankreich,20,13,,7,4,6,1,23,74
Griechenland,5,4,1,,6,,,5,21
Irland,4,1,1,1,4,,,,11
Italien,17,31,,,3,,17,5,73
Kroatien,5,2,1,2,,1,,,11
Lettland,4,1,1,,,1,1,,8
Litauen,2,2,1,3,,1,2,,11
Luxemburg,3,1,,1,,1,,,6
Malta,3,3,,,,,,,6
Niederlande,5,3,2,7,3,2,,4,26
Österreich,5,5,,1,,3,,4,18
Polen,23,5,19,,,,,4,51
Portugal,7,8,,2,4,,,,21
Rumänien,15,16,,1,,,,,32
Schweden,4,6,,3,1,4,2,,20
Slowakei,6,4,2,1,,,,,13
Slowenien,5,1,,1,,1,,,8
Spanien,17,14,,8,11,4,,,54
Tschechien,7,4,2,4,3,,1,,21
Ungarn,12,4,,,,2,,3,21
Vereinigtes Königreich,,20,20,1,1,6,24,1,73
Zypern,2,2,,,2,,,,6
Europäische Union,221,191,70,67,52,50,48,52,751
