Land,EVP,S&D,EKR,Renew Europe,GUE/NGL,Grüne/EFA,ID,NI,Anzahl der Sitze
Belgien,4,3,3,4,1,3,3,,21
Bulgarien,7,5,2,3,,,,,17
Dänemark,1,3,,5,1,2,1,,13
Deutschland,29,16,1,7,6,25,11,1,96
Estland,,2,,3,,,1,,6
Finnland,3,2,,3,1,2,2,,13
Frankreich,8,5,,21,6,12,22,,74
Griechenland,8,2,1,,6,,,4,21
Irland,4,,,1,4,2,,,11
Italien,7,19,5,,,,28,14,73
Kroatien,4,3,1,1,,,,2,11
Lettland,2,2,2,1,,1,,,8
Litauen,4,2,1,2,,2,,,11
Luxemburg,2,1,,2,,1,,,6
Malta,2,4,,,,,,,6
Niederlande,6,6,4,6,1,3,,,26
Österreich,7,5,,1,,2,3,,18
Polen,17,8,26,,,,,,51
Portugal,7,9,,,4,1,,,21
Rumänien,14,10,,8,,,,,32
Schweden,6,5,3,3,1,2,,,20
Slowakei,4,3,2,2,,,,2,13
Slowenien,4,2,,2,,,,,8
Spanien,12,20,3,8,6,2,,3,54
Tschechien,5,,4,6,1,3,2,,21
Ungarn,13,5,,2,,,,1,21
Vereinigtes Königreich,,10,4,17,1,11,,30,73
Zypern,2,2,,,2,,,,6
Europäische Union,182,154,62,108,41,74,73,57,751
