Land,1979,1981,1984,1987,1989,1994,1995,1996,1999,2004,2007,2009,2013,2014,2019
Belgien,"91,36",,"92,09",,"90,73","90,66",,,"91,05","90,81",,"90,39",,"89,64","88,47"
Dänemark,"47,82",,"52,38",,"46,17","52,92",,,"50,46","47,89",,"59,54",,"56,32","66,08"
Deutschland,"65,73",,"56,76",,"62,28","60,02",,,"45,19","43,00",,"43,27",,"48,10","61,38"
Irland,"63,61",,"47,56",,"68,28","43,98",,,"50,21","58,58",,"58,64",,"52,44","49,70"
Frankreich,"60,71",,"56,72",,"48,80","52,71",,,"46,76","42,76",,"40,63",,"42,43","50,12"
Italien,"85,65",,"82,47",,"81,07","73,60",,,"69,76","71,72",,"66,47",,"57,22","54,50"
Luxemburg,"88,91",,"88,79",,"87,39","88,55",,,"87,27","91,35",,"90,76",,"85,55","84,24"
Niederlande,"58,12",,"50,88",,"47,48","35,69",,,"30,02","39,26",,"36,75",,"37,32","41,93"
Vereinigtes Königreich,"32,35",,"32,57",,"36,37","36,43",,,"24,00","38,52",,"34,70",,"35,60","37,18"
Griechenland,,"81,48","80,59",,"80,03","73,18",,,"70,25","63,22",,"52,54",,"59,97","58,69"
Spanien,,,,"68,52","54,71","59,14",,,"63,05","45,14",,"44,87",,"43,81","60,73"
Portugal,,,,"72,42","51,10","35,54",,,"39,93","38,60",,"36,77",,"33,67","30,75"
Schweden,,,,,,,"41,63",,"38,84","37,85",,"45,53",,"51,07","55,27"
Österreich,,,,,,,,"67,73","49,40","42,43",,"45,97",,"45,39","59,80"
Finnland,,,,,,,,"57,60","30,14","39,43",,"38,60",,"39,10","40,80"
Tschechien,,,,,,,,,,"28,30",,"28,22",,"18,20","28,72"
Estland,,,,,,,,,,"26,83",,"43,90",,"36,52","37,60"
Zypern,,,,,,,,,,"72,50",,"59,40",,"43,97","44,99"
Litauen,,,,,,,,,,"48,38",,"20,98",,"47,35","53,48"
Lettland,,,,,,,,,,"41,34",,"53,70",,"30,24","33,53"
Ungarn,,,,,,,,,,"38,50",,"36,31",,"28,97","43,36"
Malta,,,,,,,,,,"82,39",,"78,79",,"74,80","72,70"
Polen,,,,,,,,,,"20,87",,"24,53",,"23,83","45,68"
Slowenien,,,,,,,,,,"28,35",,"28,37",,"24,55","28,89"
Slowakei,,,,,,,,,,"16,97",,"19,64",,"13,05","22,74"
Bulgarien,,,,,,,,,,,"29,22","38,99",,"35,84","32,64"
Rumänien,,,,,,,,,,,"29,47","27,67",,"32,44","51,20"
Kroatien,,,,,,,,,,,,,"20,84","25,24","29,85"
EU Gesamt,"61,99",,"58,98",,"58,41","56,67",,,"49,51","45,47",,"42,97",,"42,61","50,66"
