KeyB,KeyM
,C major
E♭ major,C major
G major,F major
C minor,F major
,G major
F minor,C major
A major,F major
C major,B♭major
E♭ major,F major
E♭ major,F major
,C major
F major,B♭major
G minor,C major
D major,D major
E♭ major,B♭major
D major,G major
,B♭major
G major,G major
D major,A major
C minor,F major
,C major
C minor,B♭major
F major,F major
D major,C major
B♭ major,G major
,D major
D major,G major
A major,C major
E♭ major,G major
C minor,F major
,A major
E major,A minor
G major,A major
C major,F major
E♭ major,C major
E♭ major,D major
F major,G minor
,B♭major
F major,G minor
G major,C major
D major,F major
C minor,D minor
A major,F major
B♭ major,B♭major
B♭ major,F major
E♭ major,G major
C major,C minor
B♭ major,B♭major
A minor,D major
F major,E♭major
D major,A♭major
A♭ major,E♭major
,A♭major
E♭ major,B♭major
C♯ minor,F major
D major,B♭major
C major,E♭major
,B♭major
A major,E♭major
C minor,F major
G major,F major
,B♭major
G major,E♭major
D minor,C major
E♭ major,A minor
,E♭major
,A minor
F major,D major
E♭ major,F major
D major,C major
D major,C major
C minor,G minor
E♭ major,A major
C major,B♭major
G major,A major
D major,G major
D major,D major
,E♭major
E♭ major,G major
,C major
B♭ major,D major
A major,F major
,B♭major
E major,D major
E♭ major,F major
F♯ minor,F major
C major,C major
C major,C major
A minor,C major
,C major
G minor,F major
G major,
F major,B♭major
,D major
,G major
A minor,E♭major
G major,B♭major
F major,D major
E♭ major,F major
G major,F major
F major,D major
A major,G major
G major,B♭major
C major,
F major,
E♭ major,A major
C major,C major
F minor,F major
G major,C major
G major,C minor
,G major
F major,F major
E minor,D major
C major,D minor
B♭ major,
D major,
D major,
C minor,
E♭ major,
E♭ major,
,D major
F major,D major
C minor,G major
F major,B♭major
A major,D major
,C major
D major,C major
E♭ major,C major
E♭ major,D major
,B♭major
,B♭major
,F major
C major,G major
C major,G major
E♭ major,E♭major
E♭ major,C major
,E♭major
,B♭major
,G major
,B♭major
,D major
,A major
,G major
D major,D major
G minor,D major
F♯ major,D major
G major,F major
C minor,E♭major
E♭ major,D major
E♭ major,
,A minor
,E♭major
,A minor
,D minor
,D major
,
,G major
,
,E major
,
,C major
,B♭major
C major,G major
C major,F major
,C major
C major,G major
E minor,C major
,F major
A major,
F major,
B♭ minor,D major
F minor,C major
G major,F major
B♭ major,E♭major
,A major
,D major
,G major
,D major
,F major
,B♭major
,D major
G major,B♭major
F major,F major
A major,B♭major
,G major
C major,F major
D major,F major
E♭ major,D major
C minor,
,B♭major
G major,C major
C minor,G major
C major,F major
E♭ major,
E♭ major,D major
D major,E♭major
B♭ major,D major
,A major
,D major
,G major
,D major
,D major
,C major
,F major
,F major
,B♭major
,E♭major
,B♭major
,E♭major
,E♭major
,G major
,C major
,D major
,C major
,D major
,D major
,D major
,D major
,F major
,A major
,C major
,E♭major
,B♭major
,D minor
,G major
,B♭major
,G minor
,B♭major
,D major
,
,A major
,D major
,B♭major
,D major
E major,C major
A♭ major,B♭major
C minor,F major
D major,C major
,D major
,D major
C major,C major
B♭ major,D major
E♭ major,D major
,C major
,F major
C major,B♭major
G major,E♭major
E major,G major
E major,C major
B♭ major,
D major,C major
C major,B♭major
D minor,D minor
,D major
E♭ major,B♭major
A major,D major
G major,
B♭ major,D major
B♭ major,C major
C♯ minor,F major
A minor,D major
B♭ major,B♭major
B♭ major,F major
F major,D major
,D major
D major,C major
C major,C major
D major,G major
D major,G major
,D major
C major,A major
D major,B♭major
E♭ major,D major
E-flat major,B♭major
C major,E♭major
B♭ major,C major
,G major
,F major
,A major
,F major
,E♭major
,F major
,D major
,C major
,C major
,F major
,F major
,F major
,D major
D major,D major
D major,D major
,
,D major
F major,F major
F major,B♭major
F major,F major
F major,D major
F major,C major
F major,C major
F major,C major
C major,E major
C major,B♭major
D major,C major
D major,D major
G major,
D major,B♭major
E♭ major,E♭major
G major,
,G major
,C major
C major,B♭major
B♭ major,E♭major
B♭ major,B♭major
,D major
,C major
D major,C minor
E♭ major,F major
,B♭major
A major,F major
A major,C major
,C major
E♭ major,D major
D major,C major
C major,D major
G major,G major
E♭ major,C major
B♭ major,G major
F major,D major
G major,C major
,G major
C minor,E♭major
E♭ major,C major
E♭ major,A major
C major,
D major,B♭major
G major,E♭major
E♭ major,A♭major
,C major
E♭ major,E♭major
F minor,E♭major
D major,C major
C major,A major
A major,E♭major
F major,
C major,A major
C minor,B♭major
C minor,D major
C minor,C major
C major-C minor,E minor
F minor,A minor
C major,C major
F major,E♭major
D minor,C major
A minor,A major
B♭ major,F major
B minor,D major
G minor,B♭major
C major,C major
C minor,D major
F major,
D major,E♭major
A major,C major
C major,C major
C major,B♭major
A major,C major
G major,B♭major
A major,G major
C major,B♭major
B♭ major,D major
D major,D major
F major,D major
F major,D major
G major,D major
C major,E♭major
D major,A major
C minor,C major
A major,C major
E♭ major,C major
E♭ major,
E♭ major,
D major,
E♭ major,C major
C minor,C major
A♭ major-D major,C major
F major,C major
D major,F major
,B♭major
F major,D minor
B♭ major,
A major,
,
,G major
B♭ major,C major
A major,F major
,D minor
D major,F major
B♭ major,E♭major
,B♭major
B♭ major,E♭major
C major,E♭major
,B♭major
,B♭major
,C major
,G major
,E♭major
,G major
,G major
,F major
C major,F major
C major,F major
C major,E♭major
G major,B♭major
C major,E♭major
C major,D major
G major,B♭major
E♭ major,D major
A major,G major
A major,G minor
A major,E♭major
D major,G major
,F major
G major,D major
E♭ major,C minor
B♭ major,C minor
B♭ major,B♭major
C minor,B♭major
A major,G major
C major,D major
E♭ major,G major
G major,A major
A major,
C major,C major
F minor,F major
G major,F minor
G major,C major
E major,C major
E major,C major
D major,C major
C minor,C major
C major,
C major,E♭major
C minor,C minor
G major,B♭major
F major,B♭major
G major,D major
C major,D major
G major,
A major,C major
E♭ major,C major
E major,A major
C major,C minor
G major,D minor
F major,D minor
E♭ major,C major
D minor,G minor
E♭ major,A major
A♭ major,A major
G minor,D major
G minor,E♭major
E♭ major,D major
G minor,G major
C minor,F major
D major,C major
B♭ major,
B♭ major,G major
D major,
D major,B♭major
D major,D major
C major,F major
E minor,
E♭ major,
E♭ major,F major
G major,E♭major
E major,C minor
A major,D minor
F major,A major
D major,A major
E major,C major
G major,E♭major
,F minor
,E♭major
,
,G major
,B♭major
,
,C major
,G major
,E♭major
F major,C minor
F major,C minor
G major,F major
G major,G major
C major,E♭major
B♭ major,F major
F minor,F major
C major,B♭major
D major,G major
F major,D major
C major,E♭major
D minor,
F major,
C major,
C major,E♭major
G major,B♭major
E♭ major,D major
B♭ major,E♭major
B♭ major,E♭major
,G major
F major,C minor
E major,B♭major
B♭ major,E♭major
C major,A major
C major,G major
C major,B♭major
C major,C minor
C major,B♭major
D minor,F major
F major,A major
G major,A major
E major,C major
E♭ major,D minor
E♭ major,C major
D minor,B♭major
B♭ major,E♭major
C major,C minor
C major,E minor
B♭ major,E♭major
F major,G minor
C major,B♭major
E♭ major,G major
A minor,C minor
F major,D minor
C major,G major
C major,G minor
D major,E♭major
G major,C minor
C major,A major
F major,B♭major
A major,E♭major
D minor,E♭major
,B♭major
B♭ major,G major
,B♭major
B♭ major,B♭major
,F major
E♭ major,F major
E minor,D major
F major,
D minor,E♭major
E major,A major
E major,B♭major
,B♭major
,C minor
F major,
E♭ major,E♭major
F minor,F major
C major,E major
,E♭major
,G major
,
,F major
,G major
,E♭major
,D major
,B♭major
,G major
,G major
,B♭major
,C major
,C major
,D major
,E♭major
,F major
,F major
,F major
,
,
,G major
,A minor
,F major
,E♭major
,B♭major
,C major
,F major
,G minor
,G minor
,C minor
,B♭major
,C major
,E minor
,F major
,F minor
,C minor
,C major
,F major
,F major
,E♭major
,G major
,A major
,
,C major
,F major
,E♭major
,C major
,B♭major
,F major
,D major
,C major
,
,B♭major
,
,D major
,D major
,F major
,A major
,B minor
,G major
,C major
,E♭major
,F major
,E major
,E♭major
,C major
,C minor
,G major
,F major
,F major
,F major
,C major
,B♭major
,G minor
,C major
,A major
,C major
,F major
,A minor
,G major
,F minor
,B♭major
,F major
,F major
,F major
,A major
,A major
,B♭major
,C major
,G major
,E♭major
,G major
,
,
,
,B♭major
,B♭major
,
,E♭major
,
,D major
,G major
,D major
,D major
,D major
,D major
,F major
,B♭major
,G major
,B♭major
,C major
,F major
,A major
,A major
,C major
,E♭major
,D major
,
,
,C major
,G minor
,
,
,E♭major
,B♭major
,B♭major
,F major
,F major
,F major
,F major
,G minor
,
,
,D major
,D major
,D minor
,F minor
,B♭major
,F major
,E♭major
,A major
,
,
,
,
,
,
,
,E♭major
,
,F minor
,
,G major
,C major
,D major
,F major
,E♭major
,E♭major
,E♭major
,F major
,C minor
,C major
,D major
,C major
,
,B minor
,
,E♭major
,G major
,A major
,C major
,F major
,D minor
,
,
,C minor
,C major
,C minor
,C minor
,C major
,E♭major
,D major
,G major
,B♭major
,D major
